INFO [2022-03-16 14:28:01,831] david ha eliminado el log.
INFO [2022-03-16 14:28:03,863] david descarga el log.
INFO [2022-03-16 14:28:49,543] Iniciado el sistema
INFO [2022-03-30 07:53:30,578] Iniciado el sistema
INFO [2022-03-30 07:53:30,794]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO [2022-03-30 07:53:30,795]  * Restarting with stat
INFO [2022-03-30 07:53:31,062] Iniciado el sistema
INFO [2022-03-30 07:56:24,086] david da permiso a david a la Categoria ACTIVO
INFO [2022-05-05 07:59:26,543] Iniciado el sistema
INFO [2022-05-05 07:59:40,594] Iniciado el sistema
INFO [2022-05-05 08:00:02,012] Iniciado el sistema
INFO [2022-05-05 08:00:16,707] Iniciado el sistema
INFO [2022-05-05 08:00:50,551] Iniciado el sistema
INFO [2022-05-05 08:00:50,588]  * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
INFO [2022-05-05 08:00:50,589]  * Restarting with stat
INFO [2022-05-05 08:00:50,842] Iniciado el sistema
INFO [2022-05-05 08:01:11,584] Ha accedido david
INFO [2022-05-05 08:03:51,384] Iniciado el sistema
INFO [2022-05-05 08:03:51,429]  * Running on http://127.0.0.1:6000/ (Press CTRL+C to quit)
INFO [2022-05-05 08:03:51,429]  * Restarting with stat
INFO [2022-05-05 08:03:51,691] Iniciado el sistema
INFO [2022-05-05 08:04:23,686] Iniciado el sistema
INFO [2022-05-05 08:04:23,719]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO [2022-05-05 08:04:23,719]  * Restarting with stat
INFO [2022-05-05 08:04:23,972] Iniciado el sistema
INFO [2022-05-05 08:15:39,480] Iniciado el sistema
INFO [2022-05-05 08:15:39,519]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO [2022-05-05 08:15:39,520]  * Restarting with stat
INFO [2022-05-05 08:15:39,780] Iniciado el sistema
INFO [2022-05-05 08:15:51,160] david da permiso a david a la Categoria Activo
INFO [2022-05-05 08:15:53,356] david da permiso a david a la Categoria Catalogo
INFO [2022-05-05 08:15:55,438] david da permiso a david a la Categoria Especialidades
INFO [2022-05-05 08:15:57,473] david da permiso a david a la Categoria Reserva
INFO [2022-05-05 08:16:01,216] david cierra sesion
INFO [2022-05-05 08:25:36,656] Iniciado el sistema
INFO [2022-05-05 08:25:36,698]  * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
INFO [2022-05-05 08:25:46,779] 127.0.0.1 - - [05/May/2022 08:25:46] "[32mGET / HTTP/1.1[0m" 302 -
INFO [2022-05-05 08:25:46,822] 127.0.0.1 - - [05/May/2022 08:25:46] "GET /admin/ HTTP/1.1" 200 -
